"Hora Unix";"Hora Local";"Distancia";"Ticks";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
1736429065.242138;"2025-01-09 10:24:25.242138";"000.01";0;" ";" ";" "
1736429065.272044;"2025-01-09 10:24:25.272044";"000.01";0;" ";" ";" "
1736429065.302414;"2025-01-09 10:24:25.302414";"000.01";0;" ";" ";" "
1736429065.331342;"2025-01-09 10:24:25.331342";"000.01";0;" ";" ";" "
1736429065.360731;"2025-01-09 10:24:25.360731";"000.01";0;" ";" ";" "
1736429065.390697;"2025-01-09 10:24:25.390697";"000.01";0;" ";" ";" "
1736429065.420517;"2025-01-09 10:24:25.420517";"000.01";0;" ";" ";" "
1736429065.449969;"2025-01-09 10:24:25.449969";"000.01";0;" ";" ";" "
1736429065.479111;"2025-01-09 10:24:25.479111";"000.01";0;" ";" ";" "
1736429065.509108;"2025-01-09 10:24:25.509108";"000.01";0;" ";" ";" "
1736429065.539373;"2025-01-09 10:24:25.539373";"000.01";0;" ";" ";" "
1736429065.56889;"2025-01-09 10:24:25.568890";"000.01";0;" ";" ";" "
1736429065.597902;"2025-01-09 10:24:25.597902";"000.01";0;" ";" ";" "
1736429065.627048;"2025-01-09 10:24:25.627048";"000.01";0;" ";" ";" "
1736429065.657655;"2025-01-09 10:24:25.657655";"000.01";0;" ";" ";" "
1736429065.686954;"2025-01-09 10:24:25.686954";"000.01";0;" ";" ";" "
1736429065.716492;"2025-01-09 10:24:25.716492";"000.01";0;" ";" ";" "
1736429065.747202;"2025-01-09 10:24:25.747202";"000.01";0;" ";" ";" "
1736429065.776382;"2025-01-09 10:24:25.776382";"000.01";0;" ";" ";" "
1736429065.806193;"2025-01-09 10:24:25.806193";"000.01";0;" ";" ";" "
1736429065.836206;"2025-01-09 10:24:25.836206";"000.01";0;" ";" ";" "
1736429065.865292;"2025-01-09 10:24:25.865292";"000.01";0;" ";" ";" "
1736429065.895563;"2025-01-09 10:24:25.895563";"000.01";0;" ";" ";" "
1736429065.925304;"2025-01-09 10:24:25.925304";"000.01";0;" ";" ";" "
1736429065.954304;"2025-01-09 10:24:25.954304";"000.01";0;" ";" ";" "
1736429065.986804;"2025-01-09 10:24:25.986804";"+00-0.00";-37;" ";" ";" "
1736429066.017861;"2025-01-09 10:24:26.017861";"+00-0.00";-37;" ";" ";" "
1736429066.049471;"2025-01-09 10:24:26.049471";"+00-0.00";-37;" ";" ";" "
1736429066.078611;"2025-01-09 10:24:26.078611";"+00-0.00";-37;" ";" ";" "
1736429066.110572;"2025-01-09 10:24:26.110572";"+00-0.00";-37;" ";" ";" "
1736429066.141595;"2025-01-09 10:24:26.141595";"+00-0.00";-37;" ";" ";" "
1736429066.173482;"2025-01-09 10:24:26.173482";"+00-0.00";-37;" ";" ";" "
1736429066.203856;"2025-01-09 10:24:26.203856";"+00-0.00";-37;" ";" ";" "
1736429066.234949;"2025-01-09 10:24:26.234949";"+00-0.00";-37;" ";" ";" "
